,Title,Time,Type,Content
0,元太電子紙商機起飛 股價挑戰歷史新高,2021-07-06 13:19:00,udn 股市 上市電子,電子紙大廠元太（8069）因市場看好電子紙閱讀器與筆記本，以及電子紙標籤（ESL）商機，近期股價持續走揚，今（6）日盤中高點來到84.5元，上漲7元、漲幅達9%，近期有望挑戰歷史最高價85.6元。  元太今年前5月累計合併營收達71億元，年增26.5%，是自2017年轉型100%電子紙製造商後的同期新高。元太指出，疫情加速電子貨架標籤裝機潮，公眾顯示器及物流應用同步升溫，都讓元太今年客戶端的需求大幅成長。  時序進入下半年，第3季歐美主要市場迎來解封開學季，元太也擴增全新彩色電子紙技術產能，電子紙閱讀器和電子紙筆記本終端產品尺寸放大、功能更強，並有手寫功能成為標配，可望在供需兩端正面影響下帶起一波換機潮；第4季還有黑色星期五及聖誕假期購物旺季，電子紙產品終端銷售暢旺，將使元太下半年業績逐步升溫。  電子貨架標籤和廣告牌部分，元太積極從模組銷售轉往供應更上游的電子紙薄膜材料，進一步與更多生態圈模組夥伴合作，因應持續增長的市場需求，並強化產業開發量能。  電子貨架標籤應用近年廣泛受到零售商矚目，嘗試導入門市試用。例如全聯近期開出第一間「智慧超市」，便是由元太提供最新型產品，使用25.3吋大尺寸全彩及四色電子紙，作為智慧超市不插電數位端架，有助於降低員工更換POP時間並減少紙張浪費，提升工作效率也兼具環保。  因應電子紙產品未來幾年需求強勁，元太今年資本支出上看16億元，先前已宣布在新竹廠擴產4條電子紙薄膜材料產線，近期董事會又拍板以19.12億元興建新廠，作為未來擴充6~8條新產能的基礎，將繼續積極擴廠搶占市場先機。
1,台股再登新高後壓回 航海王權證最熱門,2021-07-06 14:54:00,udn 股市 權證期貨," 台股今（6）日早盤在傳產與金融族群支撐盤勢，多頭指標─海運股買盤持續湧入下，指數一度登上「萬八」大關，再創歷史新高，但受獲利回吐賣壓拖累，指數終場下跌6點、收在17,913點；權證市場上，航運王權證最熱門，投資人大押連結長榮（2603）的長榮統一07購03（079429）。  美股因國慶日休市，電子盤則是分別小漲、小跌，日、韓股市也呈平盤附近震盪游走下，台股欠缺明確的多空指引方向，使得早上在海運等非電群帶動指數上衝至萬八大關、最高來到18,008點後，在航運股整體成交比重逼近五成，資金排擠效應中，獲利了結賣壓出籠，指數一度由紅翻黑，幸賴低接買盤無虞，指數終場以小跌6點作收。  權證市場方面，投資人在現貨市場震盪加劇下，轉以權證試單，整體權證市場成交金額占大盤比重為0.68%，成交金額較前一日縮小為46.7億元。  從市場多空角度觀察，今日整體市場認購權證成交金額為45.8億元，認售權證成交金額為0.8億元，認購權證成交金額占總成交金額98.1%，認購、認售比值為54.5倍。  而從市場前十大成交金額的認購、認售權證，與其所連結的標的來看，其中認購排名第一的是連結長榮的長榮統一07購03，成交金額為6,113萬元；認售排名第一的是連結景碩的景碩群益0C售02，成交金額為128萬元。  其中值得注意的是，從市場前十大熱門成交的權證來看，全數由認購包辦，長榮有七席、萬海、榮運、東森各一席，顯示航海王在權證市場的人氣持續高漲；市場法人表示，台股中線後市在基本面、資金面推動下，仍有空間可期，但短線需留意本周四的美國聯準會6月會議紀錄，其內容對縮減購債、升息的言論，建議近期操作宜短不宜長，以買黑賣紅方式因應。"
2,聯詠6月、Q2營收同創新高 上半年應可賺回兩個股本,2021-07-06 15:06:00,udn 股市 上市電子,驅動晶片廠聯詠（3034）今（6）日公告6月合併營收續升至115.8億元，較上月微增1.2%，連續六個月改寫單月新高紀錄；整體第2季營收為341.08億元，微幅超越財測高標，季增率逼近三成，並再寫單季新高紀錄。  累計聯詠上半年合併營收為604.78億元，比去年同期大增七成。聯詠指出，因市場需求提升以及公司積極擴展業務，致營收較去年同期成長。  由於驅動IC及整合觸控和驅動IC（TDDI）需求持續暢旺，再加上聯詠等驅動晶片廠將於7月漲價一成左右，在市場旺季需求持穩和漲價效益帶動下，法人看好該公司第3季營運續增，第4季動能則是市場下一階段動向的觀察重點。  聯詠原預估，第2季各產品線出貨持續成長，以新台幣兌美元28：1計算，上季營收將落在新台幣330億到340億元之間，季增25.2%到28.9%；毛利率為45%到48%，營業利益率介於29.5%到32.5%之間。  聯詠第1季稅後純益58.75億元，季增61.2%，年增166%，每股稅後純益9.66元，創單季獲利歷史新高。法人預估，在第2季營收、毛利率、營業利益率同升的情況下，聯詠第2季獲利將再創新高，上半年應可賺回兩個股本。
3,台股衝關萬八終場收跌6.26點 三大法人賣超33.09億,2021-07-06 15:09:00,udn 股市 股市要聞," 台股今（6）日開高後一度衝上18,008.37點，再創歷史新高，首度越過18,000點大關，盤面上主要是由航運股領軍，加上電子股、金融股助攻，可惜航運漲幅收斂，電子股翻黑，指數由紅翻黑，終場以17,913.07點作收，下跌6.26點，成交量6,000.05億元；三大法人賣超33.09億元。  統計三大法人買賣超情況，外資及陸資（不含外資自營商）買超1.19億元，投信賣超3.2億元，自營商賣超（合計）31.08億元，其中自營商（自行買賣）買超1.53億元，自營商（避險）賣超32.61億元。  台股今日萬八曇花一現，早盤以17,929.22點開高後直衝上18,008.37點，再創歷史新高，資金再度輪動到航運股，盤中占大盤成交比重一度突破5成，成為多頭領攻指標，終場類股收漲2.54%，漲幅收斂，玻陶股收漲9.37%，漲幅居冠，鋼鐵股收跌1.45%，電子股收跌0.35%，金融股收紅，大盤指數震盪翻黑，一度下滑至17,895.78點，終場收17,913.07點。"
4,高端起落坑殺人 立委籲加嚴炒股查緝,2021-07-06 16:33:00,udn 股市 股市要聞, 「股票炒半天，大起大落、暴漲暴跌，被有心人賺走錢，散戶什麼都不剩！」台灣民眾黨立委張其祿說，高端疫苗去年曾放出錯誤的重大訊息，誤導股票市場，而後又因為諸多新聞事件導致股票大起大落，呼籲金管會討論對重訊發布不實加重罰則，以確保投資人的權益。   張其祿於6日上午透過記者會指出，去年11月24日晚間，台灣多家媒體接連以「國產新冠疫苗第一筆訂單」，報導高端疫苗將外銷馬來西亞。高端疫苗隨後則發布重訊表示，11月13日已與馬來西亞上巿公司Metronic Global Bhd（MGB）簽署協議備忘錄。 然而，張其祿指出，從MGB官網所公告的協議備忘錄簽署日期卻是去年的11月20日，且在MGB所公告的內容當中指出，雙方同意在簽署備忘錄後1個月內支付價金，與重訊公告的「2週內」支付明顯不同。該重訊導致高端遭到櫃買中心開罰3萬元，但本次重訊事件卻讓高端市值大漲 27 億多。   對於該事件，張其祿強調，國際上的證交法律訊息若有誤導、不實、未達成的情況，很可能構成證券詐欺行為，在多國都有相當嚴重的罰則，且金融市場是高度管制、嚴重資訊不對稱且市場失靈的地方，台灣相對罰則較輕，恐怕會讓炒股者將罰款當成宣傳費看待。 但他無奈指出，此類案件在查緝上具有高度專業性，討論相關修法不應只是限於刑期、刑則的問題，「辦不成、徒法不足以制行」，但在美國、新加坡、英國、加拿大等國都是能看到明確罰則的，如美國就將證券詐欺罪列為聯邦Ｃ類重罪，可處 20 年監禁、500萬美元罰款（約1億3千9百50萬台幣）。   此外，張其祿提到，金融時報近日也針對高端案進行報導，更引用台大法律系教授王文宇的發言，指出「高端案極富政治性，台灣內線交易早已猖獗」，稱本次調查已經顯示台灣金融業「炒股」的嚴重性，並表示台灣金融監管機構，缺乏必要的法律權力打擊相關問題。    【更多精采內容，詳見】
5,除權息遞延衝擊！0050將除息0.3元、殖利率0.2%,2021-07-06 17:04:00,udn 股市 股市要聞,"「國民ETF」元大台灣50（0050）今年下半年的配息出爐，元大投信公告，0050每單位擬發0.3元，最新收盤價換算的殖利率約0.2%，21日進行除息。若加入上半年已配發3.05元，今年共配發3.35元，殖利率為2.3%。  對於此結果，部分投資人可能感到失望，因先前傳出0050下半年可配發的金額有機會持平去年，全年也可望不低於去年，對此元大投信表示，0050股息略為減少主要是除權息遞延影響，明年上半年會配得更多，投資人長期布局絕對不會少拿。  0050是台股第1檔ETF，迄今發行超過18年，擁有超過30萬名股民投資，是台股最熱門的ETF之一。近年台積電（2330）走強，今年更在航運股噴發，長榮（2603）、陽明（2609）、萬海（2615）都納入台灣50指數，使0050表現備受關注，而除權息資金卡位一度讓ETF的規模達1,924億元，改寫國內ETF最大紀錄，也引發市場話題。  0050分為上下半年配息，今年1月時，已經除息和配發3.05元，並為同期最多的配息金額，原市場預期下半年可和去年相當，不過受疫情導致除權息遞延，0050此次評價算出的配息金額為0.3元，低於去年7月的0.7元；今年共配發3.35元，也低於去年全年的3.6元，合計殖利率則為2.3%。  元大投信公告，0050今天公布第一階段的評價結果，接下來21日除息前兩天，19日還會進行第二階段公告，確定配息是否為0.3元。8月24日分配收益。  另外值得注意是，0050歷來有每次除息都填息的紀錄，但今年1月除息，正好碰上台積電漲到679元天價，0050也以最高價除息，到目前106天還在填息的過程中。今年來上漲14%，也低於台股上漲21%。  法人表示，目前不分內外資機構都看好台股高點更高，台積電營運也是愈來愈好，可望接棒傳產股領軍，建議已抱股和長期投資人維持偏多操作。觀察過去0050碰上空頭，最長仍在100-200天內完成填息，為長期賺取股息和價差的利器。 "
6,陽明5月獲利240.35億元 EPS再創新高達3.15元,2021-07-06 17:10:00,udn 股市 上市公司,陽明海運（2609）今（6日）公布5月獲利自結獲利，再度寫下新高記錄，一個月輕鬆賺進百億元。單5月營收為240.35億元，稅後純益為105.23億元，每股稅後純益為3.15元。  疫情讓貨櫃輪潛藏各種未知的變數；根據最新公布的全球貨櫃航運運價，遠東-美東及歐洲線，已經連續8周都創新高，漲勢可用瘋狂來形容；搶船、搶櫃持續上演，全球各大海運業者也陸續宣布加收，包括加收旺季附加（PSS）及GRI費用，幅度之大令震撼市場。  去年海運市場才剛復甦，長榮（2603）、陽明十年苦守，終於盼到暖冬，今年業績成長很有想像空間。本土法人預估陽明第二季單季稅後盈餘約290.85億元，EPS 8.73元，不過以陽明5月的EPS數字，陽明的獲利表現會比法人預估還出色；展望第三季，預估陽明第三季獲利達386.96億元，EPS 11.61元。  市場對於貨櫃展望看最準的台驊（2636），不只是在多年前海運最差的谷底，台驊挺船東認過陽明的私募及現增，現在陽明股價已經來站上百元，台驊昨天董事會決議以不超過新台幣10億元之額度內，參與認購陽明一一Ｏ年度現金增資發行新股。
7,國巨第二季營收季增逾16% 並較去年成長逾一倍,2021-07-06 17:25:00,udn 股市 上市電子,被動元件龍頭國巨（2327）今（6）日公布6月自結合併營收為95.05億元，單月營收較上月增加3.3%，國巨今年第二季營收達277.24億元，較去年同期大幅成長105.9%，該公司表示，對於第三季營運展望，該公司仍審慎樂觀應對。  國巨6月自結合併營收為95.05億元，單月營收較上月增加3.3%，並較去年同期增加 109.4%；第二季度合併營收為277.24 億元，較上季增加16.8%，並較去年同期增加105.9%；累計今年上半年合併營收為514.68 億元，較去年同期增加 119.1%。  該公司表示，儘管大中華廠區有海關盤點及客戶半年度庫存盤點因素，但由於歐洲、美國及日本等高端市場需求持續暢旺，使得6月營收仍較上月成長，並續創公司同期單月營收新高紀錄。  展望下一季度，國巨也指出，由於公司整體營運穩健且持續維持高產能利用率，以因應持續暢旺的終端市場需求；然因全球疫情仍未緩解，且國際貿易爭端的不確定性高，該公司仍將審慎樂觀應對業績及營運展望。
8,台驊5月每股稅後純益3.11元 再寫新高記錄,2021-07-06 17:30:00,udn 股市 上市公司,國內最大的海運貨攬台驊（2636）今天（6日）也公布5月自結數，也是寫下公司成立以來單月獲利最好的記錄，5月營收為26.61億元，稅後純益為3.84億元，年增率462%，每股稅後純益3.11元。  台驊也是貨櫃輪市場翻揚的受惠股，全球海運市場大好，能解決客戶各種疑難問題的貨攬業，業績也跟著大好；再加上台驊看好長榮（2603）、陽明（2609）的營運表現，用一張不賣來力挺長榮、陽明，所以在單月獲利上也會有業外未實現投資利益加持，推升獲利成長。  5月份時，長榮、陽明股價剛過百元，市場對於海運看法分歧，台驊董事長顏益財再度公開表示，貨櫃輪的多頭行情，是他個人這個行業40年來從沒有看過的榮景，而且就目前市場變化研判，明年海運市場一樣好，台驊董事會日前也用行動來告訴大家，真的非常看好海運業，台驊董事會通過斥資10億元，認購陽明即將訂價一一Ｏ年度現金增資發行新股，推估價格會非常貼近市價。  台驊每天都在面對客戶的需，對於市場的變動，可以說是一葉知秋，對於全球海運市場看法，顏益財也直接指出，疫情改變全球海運市場供需生態，這樣的影響是一個全面性的，疫情沒有這麼快解決來推知海運多頭演變和趨勢也不會改變，貨櫃供給量，船舶數量都深受影響。
9,五家IC設計公司6月營收微降 但第2季比首季好,2021-07-06 17:48:00,udn 股市 上市電子,六家IC設計公司在今（6）日陸續公布6月和第2季營收概況，其中，原相（3227）、茂達（6138）、松翰（5471）、神盾（6462）和大中（6435）等均較上月微降，僅富鼎（8261）持平；但有五家廠商第2季營收還是略優於上季，僅神盾繼續維持低迷的狀態。  感測晶片廠原相6月營收為8.08億元，比上月下滑8.4%，但還是較去年同期成長近三成；累計第2季營收是25.49億元，季成長幅度為13.5%，落在財測區間內。  風扇驅動IC廠茂達6月合併營收也略降到5.32億元，月減2%，但維持比去年同期增加兩成的走勢；累計第2季營收是16.1億元，季成長6.6%。  金氧半場效電晶體（MOSFET）廠富鼎和大中6月合併營收分別為3.6億元和2.41億元，其中，富鼎與上月大致持平，但大中略減2.4%；若與去年同期相較，則成長二到三成。  MOSFET市場需求持續穩居高檔水準，富鼎和大中6月營收雖然成長乏力，惟第2季營收仍各達10.31億元和7.34億元，季成長0.2%和1%，大致同樣維持在首季的水準。  微控制器（MCU）廠松翰6月營收也微降到5.07億元，月減2.3%，年成長幅度是一成；整體第2季營收達到15.75億元，季增13.6%。  相較之下，遭遇搶單困境的指紋辨識晶片廠神盾，6月營收表現還是相當低迷，單月業績續降到1.65億元，月減近三成，年減幅度更高達六成；第2季營收為7.32億元，季減三成。  法人認為，除了神盾以外，原相、松翰、茂達、富鼎、大中等IC設計公司將因為需求持穩，加上產品價格上揚，第2季獲利表現應能優於第1季，第3季市況看來也相對穩定，進入第4季則需要觀察。
